country,life1919,life2019,continent
Afghanistan,37.1,63.4,Asia
Albania,34.6,77.9,Europe
Algeria,32.8,76.2,Africa
Angola,36.4,65.2,Africa
Argentina,51.2,74.6,Americas
Australia,60.7,82.9,Oceania
Austria,50.2,81.5,Europe
Bahrain,34.7,76.3,Asia
Bangladesh,22.8,74.7,Asia
Belgium,53.8,80.2,Europe
Benin,37.5,64.6,Africa
Bolivia,31.2,69.8,Americas
Bosnia and Herzegovina,35,75.4,Europe
Botswana,36.7,61.6,Africa
Brazil,31,73.6,Americas
Bulgaria,44.2,71.8,Europe
Burkina Faso,32.9,61.8,Africa
Burundi,32.4,64,Africa
Cambodia,38.5,70,Asia
Cameroon,30.9,63.5,Africa
Canada,56.7,81.5,Americas
Central African Republic,36.3,52.4,Africa
Chad,36,60.5,Africa
Chile,30.4,79.1,Americas
China,32,77.7,Asia
Colombia,34.4,77.8,Americas
Comoros,34.4,68.8,Africa
"Congo, Dem. Rep.",35.2,65.2,Africa
"Congo, Rep.",32.9,65.4,Africa
Costa Rica,35.6,78.9,Americas
Cote d'Ivoire,37.8,64.4,Africa
Croatia,34.1,77.9,Europe
Cuba,40.6,78.7,Americas
Czech Republic,49.9,78.5,Europe
Denmark,57.7,81.2,Europe
Djibouti,36.5,66.8,Africa
Dominican Republic,34.9,72.7,Americas
Ecuador,34.2,73.9,Americas
Egypt,34.5,71,Africa
El Salvador,29.9,75.1,Americas
Equatorial Guinea,32.8,66.1,Africa
Eritrea,32.5,64,Africa
Ethiopia,29.7,69,Africa
Finland,47.7,82,Europe
France,52,82.2,Europe
Gabon,37.4,67.8,Africa
Gambia,42.2,66.9,Africa
Germany,53.3,81,Europe
Ghana,30.6,66.4,Africa
Greece,46.2,80.4,Europe
Guatemala,26.3,71.5,Americas
Guinea,34.2,61.3,Africa
Guinea-Bissau,29.2,61,Africa
Haiti,32.1,63.9,Americas
Honduras,33.9,70.7,Americas
"Hong Kong, China",34.9,84.5,Asia
Hungary,42,75.8,Europe
Iceland,54.8,84,Europe
India,28.5,70.8,Asia
Indonesia,30,71.4,Asia
Iran,25.6,76.2,Asia
Iraq,43,72.1,Asia
Ireland,56.3,81.1,Europe
Israel,34.8,82,Asia
Italy,45.6,81.9,Europe
Jamaica,35.8,76.2,Americas
Japan,42.3,84.7,Asia
Jordan,37.1,76.9,Asia
Kenya,28.3,66.4,Africa
Kuwait,30.5,81.2,Asia
Lebanon,29.5,76.2,Asia
Lesotho,38.3,52,Africa
Liberia,34.3,66.2,Africa
Libya,38.7,75.5,Africa
Madagascar,33.7,65.6,Africa
Malawi,29.4,64.8,Africa
Malaysia,30.6,75.1,Asia
Mali,31.9,62,Africa
Mauritania,37.4,70.7,Africa
Mauritius,31.2,75.5,Africa
Mexico,31.8,73,Americas
Mongolia,30.1,68.2,Asia
Montenegro,38.5,74.4,Europe
Morocco,32.9,73,Africa
Mozambique,38.2,58.4,Africa
Myanmar,31.5,69.4,Asia
Namibia,39.7,65.4,Africa
Nepal,36.4,71.1,Asia
Netherlands,57.9,81,Europe
New Zealand,56.5,81.8,Oceania
Nicaragua,27,75.4,Americas
Niger,32.4,62.6,Africa
Nigeria,36.9,64.5,Africa
Norway,59,83.2,Europe
Oman,36.2,72.7,Asia
Pakistan,30,65.9,Asia
Panama,35.8,77,Americas
Paraguay,35,75.7,Americas
Peru,33.1,77.4,Americas
Philippines,31,71.8,Asia
Poland,46.5,76.7,Europe
Portugal,35.9,80.9,Europe
Romania,35.5,74.1,Europe
Rwanda,30.3,68.7,Africa
Sao Tome and Principe,28.9,70.7,Africa
Saudi Arabia,37,74.3,Asia
Senegal,30.1,68.5,Africa
Serbia,34,75.2,Europe
Sierra Leone,31.5,61.9,Africa
Singapore,33.5,84.9,Asia
Slovak Republic,43.8,76.7,Europe
Slovenia,36.6,80.4,Europe
Somalia,35.5,58.6,Africa
South Africa,37.6,64.3,Africa
Spain,39.3,81.5,Europe
Sri Lanka,32.5,77.3,Asia
Sudan,33,70.5,Africa
Sweden,58.9,82,Europe
Switzerland,54.4,83.2,Europe
Syria,34.1,74.4,Asia
Taiwan,29.5,80.4,Asia
Tanzania,33.9,67.3,Africa
Thailand,31.5,78.5,Asia
Togo,37.5,65.2,Africa
Trinidad and Tobago,39,74.8,Americas
Tunisia,31.4,77,Africa
Turkey,31.2,77.8,Europe
Uganda,28.6,66.4,Africa
United Kingdom,56.7,79.4,Europe
United States,55.5,77,Americas
Uruguay,32.7,77.3,Americas
Venezuela,33.9,75.1,Americas
Vietnam,32.2,74.5,Asia
Zambia,35.5,63.1,Africa
Zimbabwe,36.4,60.7,Africa
